name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
St. Catherine University,Minnesota,MN,Private,4 Year,9260,39669,48929,39669,48929
St. Charles Borromeo Seminary - Overbrook,Pennsylvania,PA,Private,4 Year,13700,21275,34975,21275,34975
St. Edward's University,Texas,TX,Private,4 Year,13650,45428,59078,45428,59078
St. Francis College,New York,NY,Private,4 Year,14500,26188,40688,26188,40688
St. Francis Medical Center College of Nursing,Illinois,IL,Private,4 Year,3700,20460,24160,20460,24160
St. Francis University,Pennsylvania,PA,Private,4 Year,12122,36410,48532,36410,48532
St. Gregory's University,Oklahoma,OK,Private,4 Year,8662,22050,30712,22050,30712
St. John Fisher College,New York,NY,Private,4 Year,12400,34310,46710,34310,46710
St. John Vianney College Seminary,Florida,FL,Private,4 Year,11000,21000,32000,21000,32000
St. John's College,Maryland,MD,Private,4 Year,12602,53218,65820,53218,65820
St. John's College,New Mexico,NM,Private,4 Year,12148,54118,66266,54118,66266
St. John's University,New York,NY,Private,4 Year,17280,41760,59040,41760,59040
St. John's University,Minnesota,MN,Private,4 Year,10319,44990,55309,44990,55309
St. Joseph Seminary College,Louisiana,LA,Private,4 Year,15150,17800,32950,17800,32950
St. Lawrence University,New York,NY,Private,4 Year,14134,54846,68980,54846,68980
St. Louis Christian College,Missouri,MO,Private,4 Year,5050,11560,16610,11560,16610
St. Mary's College of Maryland,Maryland,MD,Public,4 Year,13202,14806,28008,30568,43770
St. Mary's University,Texas,TX,Private,4 Year,10270,30650,40920,30650,40920
St. Mary's University of Minnesota,Minnesota,MN,Private,4 Year,9080,35140,44220,35140,44220
St. Mary-of-the-Woods College,Indiana,IN,Private,4 Year,10914,29510,40424,29510,40424
St. Norbert College,Wisconsin,WI,Private,4 Year,9954,38129,48083,38129,48083
St. Olaf College,Minnesota,MN,Private,4 Year,10850,47840,58690,47840,58690
St. Thomas Aquinas College,New York,NY,Private,4 Year,13250,31950,45200,31950,45200
St. Vincent College,Pennsylvania,PA,Private,4 Year,11470,35874,47344,35874,47344
Stanford University,California,CA,Private,4 Year,15763,51354,67117,51354,67117
Stephen F. Austin State University,Texas,TX,Public,4 Year,8964,10287,19251,22737,31701
Stephens College,Missouri,MO,Private,4 Year,10632,30950,41582,30950,41582
Sterling College,Vermont,VT,Private,4 Year,9900,38800,48700,38800,48700
Sterling College,Kansas,KS,Private,4 Year,8280,26000,34280,26000,34280
Stetson University,Florida,FL,Private,4 Year,13052,46030,59082,46030,59082
Stevens Institute of Technology,New Jersey,NJ,Private,4 Year,15244,52202,67446,52202,67446
Stevenson University,Maryland,MD,Private,4 Year,13130,36182,49312,36182,49312
Stillman College,Alabama,AL,Private,4 Year,7394,10938,18332,10938,18332
Stockton University,New Jersey,NJ,Public,4 Year,12282,13739,26021,20866,33148
Stonehill College,Massachusetts,MA,Private,4 Year,16000,42746,58746,42746,58746
Suffolk University,Massachusetts,MA,Private,4 Year,17846,38566,56412,38566,56412
Sul Ross State University,Texas,TX,Public,4 Year,8242,8309,16551,20759,29001
SUM Bible College & Theological Seminary,California,CA,Private,4 Year,3375,9865,13240,9865,13240
SUNY College at Brockport,New York,NY,Public,4 Year,13358,8412,21770,18192,31550
SUNY College at Buffalo,New York,NY,Public,4 Year,14050,8210,22260,17990,32040
SUNY College at Cortland,New York,NY,Public,4 Year,12486,8558,21044,18338,30824
SUNY College at Fredonia,New York,NY,Public,4 Year,12630,8488,21118,18268,30898
SUNY College at Geneseo,New York,NY,Public,4 Year,13610,8651,22261,18431,32041
SUNY College at New Paltz,New York,NY,Public,4 Year,13462,8254,21716,18034,31496
SUNY College at Old Westbury,New York,NY,Public,4 Year,11530,8143,19673,17923,29453
SUNY College at Oneonta,New York,NY,Public,4 Year,12794,8166,20960,17816,30610
SUNY College at Oswego,New York,NY,Public,4 Year,14140,8440,22580,18220,32360
SUNY College at Plattsburgh,New York,NY,Public,4 Year,12988,8479,21467,18259,31247
SUNY College at Potsdam,New York,NY,Public,4 Year,13390,8462,21852,18242,31632
SUNY College at Purchase,New York,NY,Public,4 Year,13764,8698,22462,18478,32242
SUNY College of Agriculture and Technology at Morrisville,New York,NY,Public,4 Year,13550,8481,22031,12943,26493
SUNY College of Environmental Science and Forestry,New York,NY,Public,4 Year,16600,8804,25404,18584,35184
SUNY College of Technology at Alfred,New York,NY,Public,4 Year,12570,8570,21140,18350,30920
SUNY Farmingdale State College,New York,NY,Public,4 Year,13238,8306,21544,18086,31324
SUNY Maritime College,New York,NY,Public,4 Year,12522,8283,20805,18063,30585
SUNY Polytechnic Institute,New York,NY,Public,4 Year,12722,8448,21170,18228,30950
SUNY University at Albany,New York,NY,Public,4 Year,13664,9756,23420,26596,40260
SUNY University at Binghamton,New York,NY,Public,4 Year,15058,9808,24866,24488,39546
SUNY University at Buffalo,New York,NY,Public,4 Year,14213,10099,24312,27769,41982
SUNY University at Stony Brook,New York,NY,Public,4 Year,13698,9625,23323,27295,40993
Susquehanna University,Pennsylvania,PA,Private,4 Year,12630,47290,59920,47290,59920
Swarthmore College,Pennsylvania,PA,Private,4 Year,15474,52588,68062,52588,68062
Sweet Briar College,Virginia,VA,Private,4 Year,13000,21000,34000,21000,34000
Syracuse University,New York,NY,Private,4 Year,15550,51853,67403,51853,67403
Tabor College,Kansas,KS,Private,4 Year,9850,28245,38095,28245,38095
Talladega College,Alabama,AL,Private,4 Year,6704,12510,19214,12510,19214
Talmudic University,Florida,FL,Private,4 Year,8000,13250,21250,13250,21250
Talmudical Academy of New Jersey,New Jersey,NJ,Private,4 Year,3000,13300,16300,13300,16300
Talmudical Institute of Upstate New York,New York,NY,Private,4 Year,4400,6150,10550,6150,10550
Talmudical Seminary Oholei Torah,New York,NY,Private,4 Year,7700,9800,17500,9800,17500
Talmudical Yeshiva of Philadelphia,Pennsylvania,PA,Private,4 Year,7425,9075,16500,9075,16500
Tarleton State University,Texas,TX,Public,4 Year,11800,9077,20877,21412,33212
Taylor University,Indiana,IN,Private,4 Year,9614,34114,43728,34114,43728
Temple University,Pennsylvania,PA,Public,4 Year,11916,16970,28886,29066,40982
Tennessee State University,Tennessee,TN,Public,4 Year,7806,8008,15814,21364,29170
Tennessee Technological University,Tennessee,TN,Public,4 Year,9736,9103,18839,25759,35495
Tennessee Wesleyan University,Tennessee,TN,Private,4 Year,7880,24800,32680,24800,32680
Texas A&M International University,Texas,TX,Public,4 Year,8320,8640,16960,22260,30580
Texas A&M University,Texas,TX,Public,4 Year,10436,10968,21404,36442,46878
Texas A&M University-Commerce,Texas,TX,Public,4 Year,8750,8748,17498,21198,29948
Texas A&M University-Corpus Christi,Texas,TX,Public,4 Year,10220,9909,20129,22131,32351
Texas A&M University-Kingsville,Texas,TX,Public,4 Year,8760,8462,17222,20912,29672
Texas A&M University-Texarkana,Texas,TX,Public,4 Year,8732,7024,15756,22060,30792
Texas Christian University,Texas,TX,Private,4 Year,12804,46950,59754,46950,59754
Texas College,Texas,TX,Private,4 Year,8000,10008,18008,10008,18008
Texas Lutheran University,Texas,TX,Private,4 Year,9720,30050,39770,30050,39770
Texas Southern University,Texas,TX,Public,4 Year,10282,9173,19455,21623,31905
Texas State University,Texas,TX,Public,4 Year,9374,10935,20309,23385,32759
Texas Tech University,Texas,TX,Public,4 Year,9530,11045,20575,23495,33025
Texas Wesleyan University,Texas,TX,Private,4 Year,10559,30300,40859,30300,40859
Texas Woman's University,Texas,TX,Public,4 Year,8181,9368,17549,21818,29999
The Citadel,South Carolina,SC,Public,4 Year,6904,14289,21193,36761,43665
The College of New Jersey,New Jersey,NJ,Public,4 Year,13617,16551,30168,28266,41883
The King's College,New York,NY,Private,4 Year,14000,36450,50450,36450,50450
The Master's University and Seminary,California,CA,Private,4 Year,11200,25390,36590,25390,36590
The New School College of Performing Arts,New York,NY,Private,4 Year,18000,48191,66191,48191,66191
The Sage Colleges,New York,NY,Private,4 Year,12618,30857,43475,30857,43475
Thiel College,Pennsylvania,PA,Private,4 Year,12600,31700,44300,31700,44300
Thomas Aquinas College,California,CA,Private,4 Year,8400,25000,33400,25000,33400
Thomas College,Maine,ME,Private,4 Year,11250,26900,38150,26900,38150
Thomas Jefferson University: East Falls,Pennsylvania,PA,Private,4 Year,13465,40501,53966,40501,53966
Thomas More College,Kentucky,KY,Private,4 Year,7950,31120,39070,31120,39070
Thomas More College of Liberal Arts,New Hampshire,NH,Private,4 Year,9700,21600,31300,21600,31300
Thomas University,Georgia,GA,Private,4 Year,4800,16940,21740,16940,21740
Tiffin University,Ohio,OH,Private,4 Year,10600,25000,35600,25000,35600
Toccoa Falls College,Georgia,GA,Private,4 Year,8330,22744,31074,22744,31074
Torah Temimah Talmudical Seminary,New York,NY,Private,4 Year,3500,11050,14550,11050,14550
Tougaloo College,Mississippi,MS,Private,4 Year,6643,10790,17433,10790,17433
Touro College,New York,NY,Private,4 Year,10396,16953,27349,16953,27349
Towson University,Maryland,MD,Public,4 Year,13034,9940,22974,23208,36242
Transylvania University,Kentucky,KY,Private,4 Year,10460,38750,49210,38750,49210
Trevecca Nazarene University,Tennessee,TN,Private,4 Year,8400,25598,33998,25598,33998
Trine University,Indiana,IN,Private,4 Year,10810,32175,42985,32175,42985
Trinity Baptist College,Florida,FL,Private,4 Year,7040,12140,19180,12140,19180
Trinity Bible College,North Dakota,ND,Private,4 Year,6132,16320,22452,16320,22452
Trinity Christian College,Illinois,IL,Private,4 Year,9790,30650,40440,30650,40440
Trinity College,Connecticut,CT,Private,4 Year,14750,56910,71660,56910,71660
Trinity College of Florida,Florida,FL,Private,4 Year,6650,16340,22990,16340,22990
Trinity International University,Illinois,IL,Private,4 Year,9900,32390,42290,32390,42290
Trinity University,Texas,TX,Private,4 Year,13464,42976,56440,42976,56440
Trinity Washington University,NA,DC,Private,4 Year,11160,24150,35310,24150,35310
Troy University,Alabama,AL,Public,4 Year,8185,12460,20645,22875,31060
Truett McConnell University,Georgia,GA,Private,4 Year,7550,20230,27780,20230,27780
Truman State University,Missouri,MO,Public,4 Year,8780,7729,16509,14581,23361
Tufts University,Massachusetts,MA,Private,4 Year,14560,56382,70942,56382,70942
Tulane University,Louisiana,LA,Private,4 Year,15190,54820,70010,54820,70010
Tusculum College,Tennessee,TN,Private,4 Year,9190,24860,34050,24860,34050
Tuskegee University,Alabama,AL,Private,4 Year,9650,22170,31820,22170,31820
U.T.A. Mesivta-Kiryas Joel,New York,NY,Private,4 Year,4600,11000,15600,11000,15600
Union College,Nebraska,NE,Private,4 Year,7070,23780,30850,23780,30850
Union College,Kentucky,KY,Private,4 Year,7600,27140,34740,27140,34740
Union College,New York,NY,Private,4 Year,13563,55290,68853,55290,68853
Union University,Tennessee,TN,Private,4 Year,10200,32890,43090,32890,43090
United Talmudical Seminary,New York,NY,Private,4 Year,1500,13800,15300,13800,15300
Unity College,Maine,ME,Private,4 Year,10710,29160,39870,29160,39870
Universidad Adventista de las Antillas,NA,PR,Private,4 Year,6400,6570,12970,6570,12970
Universidad Pentecostal Mizpa,NA,PR,Private,4 Year,3760,4120,7880,4120,7880
Universidad Politecnica de Puerto Rico,NA,PR,Private,4 Year,4950,8610,13560,8610,13560
University of Akron,Ohio,OH,Public,4 Year,12200,11463,23663,17750,29950
University of Alabama,Alabama,AL,Public,4 Year,10102,10780,20882,29230,39332
University of Alabama at Birmingham,Alabama,AL,Public,4 Year,6400,10710,17110,24630,31030
University of Alabama in Huntsville,Alabama,AL,Public,4 Year,10094,10714,20808,22362,32456
University of Alaska Anchorage,Alaska,AK,Public,4 Year,12200,7688,19888,23858,36058
University of Alaska Fairbanks,Alaska,AK,Public,4 Year,8930,8087,17017,24257,33187
University of Alaska Southeast,Alaska,AK,Public,4 Year,9200,7092,16292,19404,28604
University of Antelope Valley,California,CA,Private,4 Year,6640,17738,24378,17738,24378
University of Arizona,Arizona,AZ,Public,4 Year,12550,12487,25037,36386,48936
University of Arkansas,Arkansas,AR,Public,4 Year,11020,9130,20150,25168,36188
University of Arkansas at Fort Smith,Arkansas,AR,Public,4 Year,8416,7128,15544,15969,24385
University of Arkansas at Little Rock,Arkansas,AR,Public,4 Year,8930,8966,17896,21206,30136
University of Arkansas at Monticello,Arkansas,AR,Public,4 Year,6824,7696,14520,13546,20370
University of Arkansas at Pine Bluff,Arkansas,AR,Public,4 Year,7881,7842,15723,14094,21975
University of Bridgeport,Connecticut,CT,Private,4 Year,13860,32850,46710,32850,46710
University of California: Berkeley,California,CA,Public,4 Year,16160,14184,30344,43176,59336
University of California: Davis,California,CA,Public,4 Year,16211,14463,30674,43458,59669
University of California: Irvine,California,CA,Public,4 Year,15263,15614,30877,44606,59869
University of California: Los Angeles,California,CA,Public,4 Year,15816,13774,29590,42766,58582
University of California: Merced,California,CA,Public,4 Year,16454,13627,30081,41641,58095
University of California: Riverside,California,CA,Public,4 Year,17475,15633,33108,44625,62100
University of California: San Diego,California,CA,Public,4 Year,12362,14199,26561,43191,55553
University of California: Santa Barbara,California,CA,Public,4 Year,15273,14424,29697,43416,58689
University of California: Santa Cruz,California,CA,Public,4 Year,16407,14009,30416,42023,58430
University of Central Arkansas,Arkansas,AR,Public,4 Year,6854,8751,15605,15274,22128
University of Central Florida,Florida,FL,Public,4 Year,9617,6368,15985,22467,32084
University of Central Missouri,Missouri,MO,Public,4 Year,8766,7673,16439,14442,23208
University of Central Oklahoma,Oklahoma,OK,Public,4 Year,7970,7488,15458,18376,26346
University of Charleston,West Virginia,WV,Private,4 Year,9180,30900,40080,30900,40080
University of Chicago,Illinois,IL,Private,4 Year,16350,58230,74580,58230,74580
University of Cincinnati,Ohio,OH,Public,4 Year,11118,11000,22118,26334,37452
University of Colorado Boulder,Colorado,CO,Public,4 Year,14418,12532,26950,37286,51704
University of Colorado Colorado Springs,Colorado,CO,Public,4 Year,10500,10463,20963,24893,35393
University of Connecticut,Connecticut,CT,Public,4 Year,12874,15730,28604,38098,50972
University of Dallas,Texas,TX,Private,4 Year,12400,40652,53052,40652,53052
University of Dayton,Ohio,OH,Private,4 Year,13580,42900,56480,42900,56480
University of Delaware,Delaware,DE,Public,4 Year,12862,13680,26542,34310,47172
University of Denver,Colorado,CO,Private,4 Year,13005,50556,63561,50556,63561
University of Detroit Mercy,Michigan,MI,Private,4 Year,9496,28000,37496,28000,37496
University of Dubuque,Iowa,IA,Private,4 Year,9930,34110,44040,34110,44040
University of Evansville,Indiana,IN,Private,4 Year,12460,36416,48876,36416,48876
University of Findlay,Ohio,OH,Private,4 Year,10000,34360,44360,34360,44360
University of Florida,Florida,FL,Public,4 Year,10120,6381,16501,28658,38778
University of Georgia,Georgia,GA,Public,4 Year,10038,11830,21868,30404,40442
University of Great Falls,Montana,MT,Private,4 Year,9200,25318,34518,25318,34518
University of Hartford,Connecticut,CT,Private,4 Year,12476,40694,53170,40694,53170
University of Hawaii at Hilo,Hawaii,HI,Public,4 Year,11406,7720,19126,20680,32086
University of Hawaii at Manoa,Hawaii,HI,Public,4 Year,13689,11970,25659,34002,47691
University of Houston,Texas,TX,Public,4 Year,10270,12506,22776,27956,38226
University of Houston-Victoria,Texas,TX,Public,4 Year,8045,7970,16015,20420,28465
University of Idaho,Idaho,ID,Public,4 Year,8880,7864,16744,25500,34380
University of Illinois at Chicago,Illinois,IL,Public,4 Year,12074,13764,25838,26980,39054
University of Illinois at Urbana-Champaign,Illinois,IL,Public,4 Year,11308,15094,26402,31664,42972
University of Illinois: Springfield,Illinois,IL,Public,4 Year,11660,11813,23473,21338,32998
University of Indianapolis,Indiana,IN,Private,4 Year,10288,29688,39976,29688,39976
University of Iowa,Iowa,IA,Public,4 Year,11172,9267,20439,31233,42405
University of Jamestown,North Dakota,ND,Private,4 Year,7570,21976,29546,21976,29546
University of Kansas,Kansas,KS,Public,4 Year,10350,11148,21498,27358,37708
University of Kentucky,Kentucky,KY,Public,4 Year,12982,12245,25227,29099,42081
University of La Verne,California,CA,Private,4 Year,12850,43050,55900,43050,55900
University of Louisiana at Lafayette,Louisiana,LA,Public,4 Year,8516,10616,19132,24344,32860
University of Louisiana at Monroe,Louisiana,LA,Public,4 Year,7850,8734,16584,20834,28684
University of Louisville,Kentucky,KY,Public,4 Year,9226,11656,20882,27278,36504
University of Lynchburg,Virginia,VA,Private,4 Year,10800,39530,50330,39530,50330
University of Maine,Maine,ME,Public,4 Year,10418,11170,21588,30970,41388
University of Maine at Farmington,Maine,ME,Public,4 Year,9726,9666,19392,19778,29504
University of Maine at Fort Kent,Maine,ME,Public,4 Year,8220,8115,16335,12315,20535
University of Maine at Machias,Maine,ME,Public,4 Year,8486,7840,16326,15100,23586
University of Maine at Presque Isle,Maine,ME,Public,4 Year,8406,8035,16441,12235,20641
University of Mary,North Dakota,ND,Private,4 Year,6890,18720,25610,18720,25610
University of Mary Hardin-Baylor,Texas,TX,Private,4 Year,8446,28750,37196,28750,37196
University of Mary Washington,Virginia,VA,Public,4 Year,11118,12188,23306,27434,38552
University of Maryland: Baltimore County,Maryland,MD,Public,4 Year,11696,11778,23474,26872,38568
University of Maryland: College Park,Maryland,MD,Public,4 Year,12429,10595,23024,35216,47645
University of Maryland: Eastern Shore,Maryland,MD,Public,4 Year,9864,8302,18166,18508,28372
University of Massachusetts Amherst,Massachusetts,MA,Public,4 Year,13202,16072,29274,34755,47957
University of Massachusetts Boston,Massachusetts,MA,Public,4 Year,16290,14167,30457,33966,50256
University of Massachusetts Dartmouth,Massachusetts,MA,Public,4 Year,13582,13921,27503,29141,42723
University of Massachusetts Lowell,Massachusetts,MA,Public,4 Year,12748,15180,27928,32827,45575
University of Memphis,Tennessee,TN,Public,4 Year,9975,9701,19676,21413,31388
University of Miami,Florida,FL,Private,4 Year,14108,50226,64334,50226,64334
University of Michigan,Michigan,MI,Public,4 Year,11534,15262,26796,49350,60884
University of Michigan: Flint,Michigan,MI,Public,4 Year,8769,11820,20589,22578,31347
University of Minnesota: Crookston,Minnesota,MN,Public,4 Year,7658,11921,19579,11921,19579
University of Minnesota: Duluth,Minnesota,MN,Public,4 Year,7760,13367,21127,18485,26245
University of Minnesota: Morris,Minnesota,MN,Public,4 Year,8342,13314,21656,15342,23684
University of Minnesota: Rochester,Minnesota,MN,Public,4 Year,9710,13352,23062,13352,23062
University of Minnesota: Twin Cities,Minnesota,MN,Public,4 Year,10312,14693,25005,30371,40683
University of Mississippi,Mississippi,MS,Public,4 Year,10696,8660,19356,24614,35310
University of Missouri: Columbia,Missouri,MO,Public,4 Year,10786,12055,22841,29025,39811
University of Missouri: Kansas City,Missouri,MO,Public,4 Year,10334,9884,20218,25010,35344
University of Missouri: St. Louis,Missouri,MO,Public,4 Year,9450,10491,19941,27900,37350
University of Mobile,Alabama,AL,Private,4 Year,9600,22820,32420,22820,32420
University of Montana,Montana,MT,Public,4 Year,9544,7244,16788,24959,34503
University of Montana: Western,Montana,MT,Public,4 Year,7950,5717,13667,17179,25129
University of Montevallo,Alabama,AL,Public,4 Year,9330,12760,22090,25780,35110
University of Mount Olive,North Carolina,NC,Private,4 Year,8550,20600,29150,20600,29150
University of Mount Union,Ohio,OH,Private,4 Year,10200,31260,41460,31260,41460
University of Nebraska - Kearney,Nebraska,NE,Public,4 Year,9878,7513,17391,14503,24381
University of Nebraska - Lincoln,Nebraska,NE,Public,4 Year,11430,9154,20584,24949,36379
University of Nebraska - Omaha,Nebraska,NE,Public,4 Year,9950,8417,18367,22689,32639
University of Nevada: Las Vegas,Nevada,NV,Public,4 Year,10504,7985,18489,22457,32961
University of Nevada: Reno,Nevada,NV,Public,4 Year,10868,7925,18793,22397,33265
University of New England,Maine,ME,Private,4 Year,13990,37620,51610,37620,51610
University of New Hampshire,New Hampshire,NH,Public,4 Year,11580,18499,30079,33879,45459
University of New Haven,Connecticut,CT,Private,4 Year,15900,39270,55170,39270,55170
University of New Mexico,New Mexico,NM,Public,4 Year,9864,5445,15309,26845,36709
University of New Orleans,Louisiana,LA,Public,4 Year,10575,9054,19629,13890,24465
University of North Alabama,Alabama,AL,Public,4 Year,9200,10370,19570,18680,27880
University of North Carolina at Asheville,North Carolina,NC,Public,4 Year,9106,7145,16251,23868,32974
University of North Carolina at Chapel Hill,North Carolina,NC,Public,4 Year,11190,8987,20177,35170,46360
University of North Carolina at Charlotte,North Carolina,NC,Public,4 Year,11100,7044,18144,20478,31578
University of North Carolina at Greensboro,North Carolina,NC,Public,4 Year,9038,7319,16357,22478,31516
University of North Carolina at Pembroke,North Carolina,NC,Public,4 Year,8924,3418,12342,7418,16342
University of North Carolina at Wilmington,North Carolina,NC,Public,4 Year,10686,7000,17686,21065,31751
University of North Carolina School of the Arts,North Carolina,NC,Public,4 Year,9021,9358,18379,25501,34522
University of North Dakota,North Dakota,ND,Public,4 Year,8974,8695,17669,20759,29733
University of North Florida,Florida,FL,Public,4 Year,9976,6394,16370,20112,30088
University of North Georgia,Georgia,GA,Public,4 Year,7876,7336,15212,21148,29024
University of North Texas,Texas,TX,Public,4 Year,9727,11250,20977,23700,33427
University of Northern Colorado,Colorado,CO,Public,4 Year,11204,9786,20990,21474,32678
University of Northern Iowa,Iowa,IA,Public,4 Year,8948,8938,17886,19480,28428
University of Northwestern - St. Paul,Minnesota,MN,Private,4 Year,9460,31540,41000,31540,41000
University of Northwestern Ohio,Ohio,OH,Private,4 Year,2850,10650,13500,10650,13500
University of Notre Dame,Indiana,IN,Private,4 Year,15410,53391,68801,53391,68801
University of Oklahoma,Oklahoma,OK,Public,4 Year,10994,11763,22757,27144,38138
